feature,club,18/19,19/20,20/21
Afslutninger,AAB_for,12.4,12.1,9.9
Afslutninger_på_mål,AAB_for,4,4.7,3.9
Afslutninger_per_mål,AAB_for,10.2,8.5,7.4
Bypassed_Players,AAB_for,249,261,229
Bypassed_Defenders,AAB_for,54,58,50
Indspil_til_sidste_tredjedel,AAB_for,20.8,21.3,19.7
Indspil_til_straffesparksfeltet,AAB_for,19.8,213,18
Korte_målspark,AAB_for,23%,33%,43%
Linjebrud_forsvarslinje,AAB_for,10.5,11.3,10.2
Linjebrud_midtbanelinje,AAB_for,31,28.1,23.1
Pace,AAB_for,8.7,9,8.8
Tempo,AAB_for,19,19.2,20
Afslutninger,AAB_imod,11.8,12.4,11.3
Afslutninger_på_mål,AAB_imod,4.4,4.7,4.3
Afslutninger_per_mål,AAB_imod,9.4,10.5,9.3
Bypassed_Players,AAB_imod,236,246,241
Bypassed_Defenders,AAB_imod,53,51,42
Indspil_til_sidste_tredjedel,AAB_imod,20,18.4,18.5
Indspil_til_straffesparksfeltet,AAB_imod,18.8,19.5,18.9
Korte_målspark,AAB_imod,18%,16%,33%
Linjebrud_forsvarslinje,AAB_imod,8,8.5,8.5
Linjebrud_midtbanelinje,AAB_imod,27.7,25.3,16.3
Pace,AAB_imod,9.1,9.1,8.9
Tempo,AAB_imod,18.6,18.5,19.3
Afslutninger,gennemsnit,12.3,12.3,11.5
Afslutninger_på_mål,gennemsnit,4.3,4.2,4.1
Afslutninger_per_mål,gennemsnit,9.2,9.1,8.8
Bypassed_Players,gennemsnit,254,249,244
Bypassed_Defenders,gennemsnit,48,48,44
Indspil_til_sidste_tredjedel,gennemsnit,21.2,20.9,19.2
Indspil_til_straffesparksfeltet,gennemsnit,20.2,19.9,18.7
Korte_målspark,gennemsnit,24%,29%,31%
Linjebrud_forsvarslinje,gennemsnit,10.2,9.8,9.1
Linjebrud_midtbanelinje,gennemsnit,29.3,27.5,23.5
Pace,gennemsnit,9.3,9.3,8.8
Tempo,gennemsnit,19.3,19.1,18.9
